,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs
19,Star Trek: The Original Series - Season 1 - 19,Tomorrow Is Yesterday,26 Jan. 1967,The Enterprise is thrown back in time to 1960s Earth.,https://www.imdb.com/title/tt0708484,7.9,2486
20,Star Trek: The Original Series - Season 1 - 20,Court Martial,2 Feb. 1967,Kirk draws a court martial in the negligent death of a crewman.,https://www.imdb.com/title/tt0708425,7.5,2310
21,Star Trek: The Original Series - Season 1 - 21,The Return of the Archons,9 Feb. 1967,"Seeking the answer to a century-old mystery, Kirk and crew encounter a vacantly peaceful society under a 6000-year autocratic rule that kills all those it can't absorb.",https://www.imdb.com/title/tt0708476,7.3,2239
22,Star Trek: The Original Series - Season 1 - 22,Space Seed,16 Feb. 1967,"While on patrol in deep space, Captain Kirk and his crew find and revive a genetically engineered world conqueror and his compatriots from Earth's 20th century.",https://www.imdb.com/title/tt0708447,8.9,3212
23,Star Trek: The Original Series - Season 1 - 23,A Taste of Armageddon,23 Feb. 1967,Kirk and Spock must save their ship's crew when they are declared all killed in action in a bizarre computer simulated war where the actual deaths must occur to continue.,https://www.imdb.com/title/tt0708414,8.1,2417
24,Star Trek: The Original Series - Season 1 - 24,This Side of Paradise,2 Mar. 1967,"The Enterprise investigates a planet whose colonists should be dead, but are not.",https://www.imdb.com/title/tt0708483,8.0,2376
25,Star Trek: The Original Series - Season 1 - 25,The Devil in the Dark,9 Mar. 1967,"The Enterprise is sent to a mining colony that is being terrorized by a mysterious monster, only to find that the situation is not that simple.",https://www.imdb.com/title/tt0708460,8.4,2567
26,Star Trek: The Original Series - Season 1 - 26,Errand of Mercy,23 Mar. 1967,"With a war with Klingons raging, Kirk and Spock attempt to resist an occupation of a planet with incomprehensibly placid natives.",https://www.imdb.com/title/tt0708429,8.3,2340
27,Star Trek: The Original Series - Season 1 - 27,The Alternative Factor,30 Mar. 1967,"Existence itself comes under threat from a man's power-struggle with his alternate self, with the Enterprise's strained dilithium crystals presenting his key to a final solution.",https://www.imdb.com/title/tt0708451,5.8,2275
28,Star Trek: The Original Series - Season 1 - 28,The City on the Edge of Forever,6 Apr. 1967,"When a temporarily insane Dr. McCoy accidentally changes history and destroys his time, Kirk and Spock follow him to prevent the disaster, but the price to do so is high.",https://www.imdb.com/title/tt0708455,9.3,3912
29,Star Trek: The Original Series - Season 1 - 29,Operation - Annihilate!,13 Apr. 1967,The Enterprise crew attempts to stop a plague of amoeba-like creatures from possessing human hosts and spreading throughout the galaxy.,https://www.imdb.com/title/tt0708441,7.6,2120
30,Star Trek: The Original Series - Season 2 - 1,Amok Time,15 Sep. 1967,"In the throes of his Pon Farr mating period, Spock must return to Vulcan to meet his intended future wife, betrothed from childhood.",https://www.imdb.com/title/tt0708416,8.7,2805
31,Star Trek: The Original Series - Season 2 - 2,Who Mourns for Adonais?,22 Sep. 1967,A powerful being claiming to be the Greek god Apollo appears and demands that the crew of the Enterprise disembark onto his planet to worship him.,https://www.imdb.com/title/tt0708488,7.2,2366
32,Star Trek: The Original Series - Season 2 - 3,The Changeling,29 Sep. 1967,"A powerful artificially intelligent Earth probe, with a murderously twisted imperative, comes aboard the Enterprise and mistakes Capt. Kirk for its creator.",https://www.imdb.com/title/tt0708454,7.7,2122
33,Star Trek: The Original Series - Season 2 - 4,"Mirror, Mirror",6 Oct. 1967,"A transporter accident places Captain Kirk's landing party in an alternate universe, where the Enterprise is in the service of a barbarically brutal empire.",https://www.imdb.com/title/tt0708438,9.2,3046
34,Star Trek: The Original Series - Season 2 - 5,The Apple,13 Oct. 1967,"Primitive inhabitants of Gamma Trianguli VI worship a God who orders them to kill visitors, from the Enterprise.",https://www.imdb.com/title/tt0708452,6.5,2047
35,Star Trek: The Original Series - Season 2 - 6,The Doomsday Machine,20 Oct. 1967,The USS Enterprise encounters the wrecked USS Constellation and its distraught commodore who's determined to stop the giant planet-destroying robot ship that killed his crew.,https://www.imdb.com/title/tt0708461,8.8,2663
36,Star Trek: The Original Series - Season 2 - 7,Catspaw,27 Oct. 1967,"Very alien visitors to our galaxy attempt to connect with human consciousness but miss, winding up tapping into the regions of human nightmares instead.",https://www.imdb.com/title/tt0708423,6.3,2070
37,Star Trek: The Original Series - Season 2 - 8,"I, Mudd",3 Nov. 1967,Harry Mudd returns with a plot to take over the Enterprise by stranding the crew on a planet populated by androids under his command.,https://www.imdb.com/title/tt0708432,7.5,2181
38,Star Trek: The Original Series - Season 2 - 9,Metamorphosis,10 Nov. 1967,"While returning to the Enterprise aboard the shuttlecraft, Kirk, Spock, McCoy and a seriously ill Federation diplomat find themselves kidnapped by an energized cloud.",https://www.imdb.com/title/tt0708436,7.4,2103
39,Star Trek: The Original Series - Season 2 - 10,Journey to Babel,17 Nov. 1967,"The Enterprise hosts a number of quarrelling diplomats, including Spock's father, but someone on board has murder in mind.",https://www.imdb.com/title/tt0708434,8.6,2324
