,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs,season,episode,series,year
30,Star Trek: The Original Series - Season 2 - 1,Amok Time,1967-09-15,"In the throes of his Pon Farr mating period, Spock must return to Vulcan to meet his intended future wife, betrothed from childhood.",https://www.imdb.com/title/tt0708416,8.7,2805,2,1,TOS,1967
31,Star Trek: The Original Series - Season 2 - 2,Who Mourns for Adonais?,1967-09-22,A powerful being claiming to be the Greek god Apollo appears and demands that the crew of the Enterprise disembark onto his planet to worship him.,https://www.imdb.com/title/tt0708488,7.2,2366,2,2,TOS,1967
32,Star Trek: The Original Series - Season 2 - 3,The Changeling,1967-09-29,"A powerful artificially intelligent Earth probe, with a murderously twisted imperative, comes aboard the Enterprise and mistakes Capt. Kirk for its creator.",https://www.imdb.com/title/tt0708454,7.7,2122,2,3,TOS,1967
33,Star Trek: The Original Series - Season 2 - 4,"Mirror, Mirror",1967-10-06,"A transporter accident places Captain Kirk's landing party in an alternate universe, where the Enterprise is in the service of a barbarically brutal empire.",https://www.imdb.com/title/tt0708438,9.2,3046,2,4,TOS,1967
34,Star Trek: The Original Series - Season 2 - 5,The Apple,1967-10-13,"Primitive inhabitants of Gamma Trianguli VI worship a God who orders them to kill visitors, from the Enterprise.",https://www.imdb.com/title/tt0708452,6.5,2047,2,5,TOS,1967
35,Star Trek: The Original Series - Season 2 - 6,The Doomsday Machine,1967-10-20,The USS Enterprise encounters the wrecked USS Constellation and its distraught commodore who's determined to stop the giant planet-destroying robot ship that killed his crew.,https://www.imdb.com/title/tt0708461,8.8,2663,2,6,TOS,1967
36,Star Trek: The Original Series - Season 2 - 7,Catspaw,1967-10-27,"Very alien visitors to our galaxy attempt to connect with human consciousness but miss, winding up tapping into the regions of human nightmares instead.",https://www.imdb.com/title/tt0708423,6.3,2070,2,7,TOS,1967
37,Star Trek: The Original Series - Season 2 - 8,"I, Mudd",1967-11-03,Harry Mudd returns with a plot to take over the Enterprise by stranding the crew on a planet populated by androids under his command.,https://www.imdb.com/title/tt0708432,7.5,2181,2,8,TOS,1967
38,Star Trek: The Original Series - Season 2 - 9,Metamorphosis,1967-11-10,"While returning to the Enterprise aboard the shuttlecraft, Kirk, Spock, McCoy and a seriously ill Federation diplomat find themselves kidnapped by an energized cloud.",https://www.imdb.com/title/tt0708436,7.4,2103,2,9,TOS,1967
39,Star Trek: The Original Series - Season 2 - 10,Journey to Babel,1967-11-17,"The Enterprise hosts a number of quarrelling diplomats, including Spock's father, but someone on board has murder in mind.",https://www.imdb.com/title/tt0708434,8.6,2324,2,10,TOS,1967
40,Star Trek: The Original Series - Season 2 - 11,Friday's Child,1967-12-01,The Federation clashes with the Klingon Empire over mining rights to Capella IV. A sudden coup between its warrior-minded inhabitants forces Kirk's party to flee with the now dead leader's pregnant wife.,https://www.imdb.com/title/tt0708431,6.9,1959,2,11,TOS,1967
41,Star Trek: The Original Series - Season 2 - 12,The Deadly Years,1967-12-08,A landing party from the Enterprise is exposed to strange form of radiation which rapidly ages them.,https://www.imdb.com/title/tt0708459,7.4,1966,2,12,TOS,1967
42,Star Trek: The Original Series - Season 2 - 13,Obsession,1967-12-15,Capt. Kirk obsessively hunts for a mysterious cloud creature he encountered in his youth.,https://www.imdb.com/title/tt0708440,7.4,1882,2,13,TOS,1967
43,Star Trek: The Original Series - Season 2 - 14,Wolf in the Fold,1967-12-22,Kirk and the Enterprise Computer become detectives after Scotty is accused of murdering women on a pleasure planet.,https://www.imdb.com/title/tt0708491,7.4,1978,2,14,TOS,1967
44,Star Trek: The Original Series - Season 2 - 15,The Trouble with Tribbles,1967-12-29,"To protect a space station with a vital grain shipment, Kirk must deal with Federation bureaucrats, a Klingon battle cruiser and a peddler who sells furry, purring, hungry little creatures as pets.",https://www.imdb.com/title/tt0708480,8.9,2910,2,15,TOS,1967
45,Star Trek: The Original Series - Season 2 - 16,The Gamesters of Triskelion,1968-01-05,"Kirk, Uhura and Chekov are trapped on a planet where abducted aliens are enslaved and trained to perform as gladiators for the amusement of bored, faceless aliens.",https://www.imdb.com/title/tt0708466,7.1,2017,2,16,TOS,1968
46,Star Trek: The Original Series - Season 2 - 17,A Piece of the Action,1968-01-12,The crew of the Enterprise struggles to cope with a planet of imitative people who have modeled their society on 1920s gangsters.,https://www.imdb.com/title/tt0708412,7.9,2207,2,17,TOS,1968
47,Star Trek: The Original Series - Season 2 - 18,The Immunity Syndrome,1968-01-19,The Enterprise encounters a gigantic energy draining space organism that threatens the galaxy.,https://www.imdb.com/title/tt0708467,7.6,1881,2,18,TOS,1968
48,Star Trek: The Original Series - Season 2 - 19,A Private Little War,1968-02-02,"Peaceful, primitive peoples get caught up in the struggle between superpowers, with Kirk unhappily trying to restore the balance of power disrupted by the Klingons.",https://www.imdb.com/title/tt0708413,7.0,1874,2,19,TOS,1968
